160.0, 165.0, Pedestrian
0.0, 293.0, Car
0.0, 9.0, Car
7.0, 13.0, Car
63.0, 82.0, Car
64.0, 69.0, Car
69.0, 85.0, Car
93.0, 104.0, Car
95.0, 122.0, Car
99.0, 112.0, Car
100.0, 110.0, Car
101.0, 106.0, Car
106.0, 123.0, Car
108.0, 119.0, Car
113.0, 132.0, Car
119.0, 125.0, Car
120.0, 157.0, Car
126.0, 168.0, Car
126.0, 136.0, Car
127.0, 155.0, Car
128.0, 147.0, Car
129.0, 154.0, Car
133.0, 147.0, Car
146.0, 153.0, Car
148.0, 162.0, Car
264.0, 270.0, Car
265.0, 283.0, Car
266.0, 271.0, Car
269.0, 283.0, Car
145.0, 159.0, Car
99.0, 104.0, Car
150.0, 158.0, Car
130.0, 137.0, Car
69.0, 81.0, Cyclist
80.0, 95.0, Van
82.0, 92.0, Van
82.0, 87.0, Van
83.0, 102.0, Van
84.0, 98.0, Van
85.0, 90.0, Van
86.0, 101.0, Van
95.0, 110.0, Van
102.0, 119.0, Van
102.0, 107.0, Van
106.0, 113.0, Van
86.0, 94.0, Van
84.0, 104.0, Truck
85.0, 94.0, Truck
86.0, 92.0, Truck
87.0, 93.0, Truck
90.0, 95.0, Truck
95.0, 100.0, Truck
100.0, 107.0, Truck
216.0, 240.0, Truck
96.0, 103.0, Truck
194.0, 228.0, Tram
207.0, 229.0, Tram
208.0, 236.0, Tram
210.0, 232.0, Tram
213.0, 241.0, Tram
215.0, 236.0, Tram
216.0, 238.0, Tram
220.0, 231.0, Tram
128.0, 155.0, Misc
130.0, 155.0, Misc
131.0, 157.0, Misc
132.0, 137.0, Misc
133.0, 138.0, Misc
133.0, 152.0, Misc
133.0, 142.0, Misc
134.0, 139.0, Misc
136.0, 153.0, Misc
140.0, 147.0, Misc
143.0, 172.0, Misc
148.0, 153.0, Misc
150.0, 156.0, Misc
140.0, 145.0, Misc
